20 - 24;1,8509722112551024;1,8517053956359362
45 - 49;1,9003222983498536;1,888828129139999
30 - 34;1,8462632082887636;1,7859998712307794
25 - 29;1,8510159463504292;1,7961543027490188
18 - 19;1,8584277082840737;1,8548229715170113
55 - 59;1,8641432476775375;1,8925843356072005
50 - 54;1,8920692487374284;1,9134437911845594
70 - 74;1,851450786378033;1,9150208290039656
35 - 39;1,9029932785009818;1,903299500489722
60 - 64;1,8717054792676675;1,9096279128956937
65 - 69;1,84872007229783;1,7142119427638347
40 - 44;1,8543381061140065;1,723403396587583
