id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1;k2;b2;D2;p-value linear 2;R_score2;AIC_linear2;kef x^2 (2);kef x (2);kef 1 (2);p-value quadr 2;R_score quadr 2;AIC_quadr2;k3;b3;D3;p-value linear 3;R_score3;AIC_linear3;kef x^2 (3);kef x (3);kef 1 (3);p-value quadr 3;R_score quadr 3;AIC_quadr3;k4;b4;D4;p-value linear 4;R_score4;AIC_linear4;kef x^2 (4);kef x (4);kef 1 (4);p-value quadr 4;R_score quadr 4;AIC_quadr4;;Average linear R_score;Average quadr R_score;AIC linear;AIC quadrio
256;-1,82;13,839;1,82;0;0,992;99,218;-0,04;-1,175;11,875;0;0,998;37,896;-1,821;13,847;1,821;0;0,992;97,84;-0,041;-1,168;11,858;0;0,998;28,745;-1,824;13,846;1,824;0;0,992;97,924;-0,041;-1,17;11,855;0;0,998;28,616;-1,826;13,856;1,826;0;0,992;98,359;-0,041;-1,169;11,858;0;0,998;29,546;;0,992;0,998;98,33525;31,20075
257;-1,816;14,007;1,816;0;0,993;93,351;-0,04;-1,173;12,048;0;0,999;12,297;-1,812;13,987;1,812;0;0,993;92,841;-0,04;-1,169;12,029;0;0,999;9,362;-1,812;13,984;1,812;0;0,992;93,53;-0,041;-1,164;12,01;0;0,999;9,664;-1,813;13,985;1,813;0;0,992;93,587;-0,041;-1,162;12,004;0;0,999;8,152;;0,9925;0,999;93,32725;9,86875
258;-1,814;13,996;1,814;0;0,991;100,898;-0,043;-1,125;11,901;0;0,998;24,641;-1,811;13,998;1,811;0;0,991;100,62;-0,043;-1,124;11,905;0;0,998;23,665;-1,811;13,998;1,811;0;0,991;101,08;-0,043;-1,116;11,883;0;0,998;21,589;-1,807;13,964;1,807;0;0,991;100,556;-0,043;-1,117;11,866;0;0,998;22,134;;0,991;0,998;100,7885;23,00725
259;-1,817;13,765;1,817;0;0,991;102,006;-0,043;-1,125;11,658;0;0,998;27,833;-1,814;13,754;1,814;0;0,991;102,559;-0,043;-1,122;11,646;0;0,998;30,304;-1,815;13,743;1,815;0;0,991;102,616;-0,043;-1,121;11,633;0;0,998;30,209;-1,813;13,737;1,813;0;0,991;102,447;-0,043;-1,12;11,628;0;0,998;29,661;;0,991;0,998;102,407;29,50175
260;-1,807;14,01;1,807;0;0,991;102,561;-0,044;-1,099;11,855;0;0,998;21,569;-1,804;14,008;1,804;0;0,991;102,447;-0,044;-1,098;11,859;0;0,998;22,189;-1,804;14,007;1,804;0;0,991;102,02;-0,044;-1,103;11,873;0;0,998;22,787;-1,805;14,011;1,805;0;0,991;102,009;-0,044;-1,102;11,874;0;0,998;22,25;;0,991;0,998;102,25925;22,19875
261;-1,853;14,059;1,853;0;0,994;87,825;-0,036;-1,272;12,291;0;0,998;22,755;-1,845;14,061;1,845;0;0,994;87,512;-0,036;-1,263;12,289;0;0,998;20,862;-1,845;14,054;1,845;0;0,994;88,071;-0,037;-1,253;12,253;0;0,999;18,24;-1,845;14,051;1,845;0;0,993;88,276;-0,037;-1,257;12,26;0;0,998;20,775;;0,99375;0,99825;87,921;20,658
262;-1,812;13,813;1,812;0;0,991;101,713;-0,044;-1,11;11,677;0;0,998;20,847;-1,811;13,783;1,811;0;0,991;100,909;-0,043;-1,121;11,683;0;0,998;23,603;-1,814;13,778;1,814;0;0,991;101,118;-0,043;-1,129;11,695;0;0,998;27,769;-1,815;13,789;1,815;0;0,991;101,559;-0,043;-1,126;11,691;0;0,998;27,446;;0,991;0,998;101,32475;24,91625
263;-1,827;14,028;1,827;0;0,992;95,372;-0,041;-1,179;12,057;0;0,998;20,271;-1,83;14,041;1,83;0;0,992;94,763;-0,04;-1,184;12,076;0;0,999;18,399;-1,829;14,03;1,829;0;0,992;95,86;-0,041;-1,177;12,044;0;0,998;19,888;-1,825;14,005;1,825;0;0,992;95,843;-0,041;-1,178;12,035;0;0,998;22,886;;0,992;0,99825;95,4595;20,361
264;-1,827;13,907;1,827;0;0,992;98,051;-0,041;-1,174;11,922;0;0,998;30,175;-1,83;13,904;1,83;0;0,992;98,509;-0,04;-1,192;11,964;0;0,998;38,539;-1,833;13,91;1,833;0;0,992;99,391;-0,04;-1,195;11,967;0;0,998;41,308;-1,83;13,922;1,83;0;0,992;98,539;-0,041;-1,17;11,913;0;0,998;28,363;;0,992;0,998;98,6225;34,59625
265;-1,816;14,143;1,816;0;0,992;98,722;-0,041;-1,158;12,142;0;0,998;30,518;-1,816;14,123;1,816;0;0,992;99,209;-0,041;-1,166;12,146;0;0,998;36,081;-1,817;14,103;1,817;0;0,991;100,047;-0,041;-1,167;12,126;0;0,998;39,288;-1,817;14,063;1,817;0;0,992;99,601;-0,041;-1,164;12,075;0;0,998;36,153;;0,99175;0,998;99,39475;35,51
266;-1,802;13,981;1,802;0;0,991;103,273;-0,044;-1,093;11,821;0;0,998;24,607;-1,801;13,995;1,801;0;0,991;103,649;-0,045;-1,088;11,824;0;0,998;24,417;-1,803;14,011;1,803;0;0,99;104,539;-0,046;-1,074;11,793;0;0,998;19,832;-1,803;14,004;1,803;0;0,991;103,912;-0,045;-1,08;11,804;0;0,998;19,758;;0,99075;0,998;103,84325;22,1535
267;-1,814;13,894;1,814;0;0,991;101,258;-0,043;-1,131;11,816;0;0,998;29,192;-1,814;13,906;1,814;0;0,991;101,836;-0,043;-1,123;11,805;0;0,998;28,071;-1,815;13,898;1,815;0;0,991;101,553;-0,043;-1,129;11,812;0;0,998;29,4;-1,815;13,901;1,815;0;0,991;101,758;-0,043;-1,127;11,806;0;0,998;28,783;;0,991;0,998;101,60125;28,8615
268;-1,792;14,019;1,792;0;0,99;105,715;-0,046;-1,062;11,797;0;0,998;25,74;-1,792;14,038;1,792;0;0,99;106,972;-0,047;-1,046;11,768;0;0,998;23,209;-1,792;14,048;1,792;0;0,99;107,865;-0,047;-1,045;11,773;0;0,998;27,325;-1,788;14,039;1,788;0;0,99;106,806;-0,047;-1,039;11,759;0;0,998;20,078;;0,99;0,998;106,8395;24,088
269;-1,811;13,869;1,811;0;0,991;101,315;-0,044;-1,115;11,752;0;0,998;22,476;-1,81;13,888;1,81;0;0,991;101,473;-0,044;-1,11;11,758;0;0,998;20,71;-1,806;13,866;1,806;0;0,991;100,586;-0,043;-1,118;11,77;0;0,998;22,724;-1,806;13,872;1,806;0;0,991;101,376;-0,043;-1,112;11,761;0;0,998;23,866;;0,991;0,998;101,1875;22,444
270;-1,84;13,926;1,84;0;0,993;93,225;-0,038;-1,225;12,055;0;0,998;28,028;-1,84;13,916;1,84;0;0,993;92,253;-0,038;-1,233;12,068;0;0,998;27,85;-1,842;13,89;1,842;0;0,993;94,462;-0,039;-1,217;11,987;0;0,998;28,26;-1,837;13,887;1,837;0;0,992;94,823;-0,039;-1,208;11,973;0;0,998;28,028;;0,99275;0,998;93,69075;28,0415
271;-1,805;14,507;1,805;0;0,993;92,094;-0,041;-1,156;12,531;0;0,999;-0,232;-1,805;14,494;1,805;0;0,993;91,853;-0,041;-1,157;12,523;0;0,999;-0,362;-1,804;14,49;1,804;0;0,993;92,89;-0,041;-1,147;12,492;0;0,999;-1,279;-1,804;14,487;1,804;0;0,992;92,997;-0,041;-1,146;12,485;0;0,999;-1,247;;0,99275;0,999;92,4585;-0,78
272;-1,83;14,367;1,83;0;0,993;90,663;-0,039;-1,21;12,478;0;0,999;13,166;-1,831;14,404;1,831;0;0,993;89,386;-0,038;-1,223;12,553;0;0,999;14,653;-1,827;14,428;1,827;0;0,993;89,268;-0,038;-1,219;12,575;0;0,999;13,653;-1,828;14,451;1,828;0;0,993;89,499;-0,039;-1,213;12,579;0;0,999;10,529;;0,993;0,999;89,704;13,00025
273;-1,786;14,023;1,786;0;0,99;108,106;-0,046;-1,049;11,78;0;0,998;34,369;-1,788;14,051;1,788;0;0,99;106,487;-0,046;-1,058;11,828;0;0,998;29,738;-1,786;14,034;1,786;0;0,99;106,959;-0,046;-1,054;11,804;0;0,998;30,938;-1,783;13,997;1,783;0;0,989;108,853;-0,046;-1,042;11,742;0;0,998;35,979;;0,98975;0,998;107,60125;32,756
274;-1,799;13,901;1,799;0;0,99;104,722;-0,045;-1,079;11,709;0;0,998;26,213;-1,8;13,875;1,8;0;0,99;105,683;-0,045;-1,077;11,674;0;0,998;29,628;-1,8;13,891;1,8;0;0,99;105,87;-0,046;-1,072;11,676;0;0,998;27,977;-1,798;13,915;1,798;0;0,99;105,251;-0,045;-1,073;11,71;0;0,998;26,597;;0,99;0,998;105,3815;27,60375
275;-1,818;13,936;1,818;0;0,992;99,472;-0,042;-1,142;11,877;0;0,998;24,059;-1,818;13,93;1,818;0;0,991;99,742;-0,042;-1,139;11,865;0;0,998;24,32;-1,822;13,936;1,822;0;0,991;100,536;-0,043;-1,138;11,852;0;0,998;24,797;-1,822;13,933;1,822;0;0,992;99,613;-0,042;-1,149;11,884;0;0,998;26,624;;0,9915;0,998;99,84075;24,95
276;-1,85;14,601;1,85;0;0,995;78,114;-0,034;-1,305;12,942;0;0,999;0,167;-1,853;14,609;1,853;0;0,995;78,712;-0,034;-1,306;12,943;0;0,999;1,516;-1,853;14,612;1,853;0;0,995;78,114;-0,034;-1,316;12,977;0;0,999;5,754;-1,851;14,618;1,851;0;0,995;78,33;-0,034;-1,312;12,977;0;0,999;5,4;;0,995;0,999;78,3175;3,20925
277;-1,814;14,177;1,814;0;0,992;99,42;-0,042;-1,137;12,117;0;0,998;23,636;-1,816;14,186;1,816;0;0,992;98,998;-0,042;-1,142;12,137;0;0,998;23,494;-1,815;14,193;1,815;0;0,992;98,816;-0,042;-1,141;12,142;0;0,998;22,254;-1,816;14,206;1,816;0;0,992;98,74;-0,042;-1,137;12,14;0;0,998;18,879;;0,992;0,998;98,9935;22,06575
278;-1,851;13,8;1,851;0;0,993;91,236;-0,037;-1,261;12,004;0;0,998;31,672;-1,848;13,799;1,848;0;0,993;91,37;-0,037;-1,25;11,979;0;0,998;28,498;-1,847;13,789;1,847;0;0,993;91,893;-0,037;-1,255;11,986;0;0,998;32,968;-1,85;13,789;1,85;0;0,993;93,933;-0,037;-1,254;11,976;0;0,998;38,676;;0,993;0,998;92,108;32,9535
279;-1,796;14,132;1,796;0;0,99;104,463;-0,045;-1,072;11,929;0;0,998;22,509;-1,799;14,116;1,799;0;0,991;103,743;-0,045;-1,083;11,937;0;0,998;23,352;-1,801;14,118;1,801;0;0,991;103,917;-0,045;-1,079;11,92;0;0,998;20,362;-1,799;14,121;1,799;0;0,99;104,36;-0,046;-1,072;11,908;0;0,998;19,735;;0,9905;0,998;104,12075;21,4895
281;-1,816;13,966;1,816;0;0,991;100,074;-0,043;-1,135;11,892;0;0,998;24,331;-1,815;13,973;1,815;0;0,991;99,996;-0,042;-1,141;11,922;0;0,998;27,981;-1,815;13,987;1,815;0;0,991;100,296;-0,042;-1,137;11,922;0;0,998;27,165;-1,814;13,98;1,814;0;0,991;100,061;-0,042;-1,141;11,931;0;0,998;28,602;;0,991;0,998;100,10675;27,01975
282;-1,809;14,055;1,809;0;0,991;104,624;-0,045;-1,097;11,888;0;0,998;30,16;-1,807;14,038;1,807;0;0,991;104,398;-0,044;-1,102;11,891;0;0,998;32,494;-1,806;14,008;1,806;0;0,991;103,643;-0,043;-1,112;11,897;0;0,998;34,779;-1,809;14,039;1,809;0;0,991;103,928;-0,044;-1,102;11,888;0;0,998;29,631;;0,991;0,998;104,14825;31,766
283;-1,793;13,982;1,793;0;0,99;106,076;-0,046;-1,057;11,742;0;0,998;24,101;-1,791;13,971;1,791;0;0,99;105,851;-0,046;-1,056;11,734;0;0,998;23,642;-1,792;13,973;1,792;0;0,99;106,32;-0,046;-1,057;11,736;0;0,998;26,068;-1,795;13,979;1,795;0;0,99;107,009;-0,046;-1,056;11,729;0;0,998;27,436;;0,99;0,998;106,314;25,31175
284;-1,792;13,94;1,792;0;0,993;89,592;-0,04;-1,156;12,006;0;0,999;-5,678;-1,824;13,835;1,824;0;0,992;95,218;-0,04;-1,177;11,866;0;0,998;20,134;-1,819;13,829;1,819;0;0,993;92,326;-0,038;-1,204;11,957;0;0,998;24,249;-1,826;13,842;1,826;0;0,992;96,337;-0,041;-1,174;11,857;0;0,998;22,565;;0,9925;0,99825;93,36825;15,3175
285;-1,805;14,304;1,805;0;0,992;95,604;-0,041;-1,15;12,308;0;0,999;16,481;-1,805;14,296;1,805;0;0,992;95,567;-0,041;-1,143;12,282;0;0,999;12,068;-1,809;14,298;1,809;0;0,992;95,937;-0,042;-1,144;12,274;0;0,999;12,189;-1,809;14,287;1,809;0;0,992;95,371;-0,041;-1,152;12,286;0;0,999;14,132;;0,992;0,999;95,61975;13,7175
286;-1,811;14,021;1,811;0;0,991;102,904;-0,044;-1,106;11,874;0;0,998;25,082;-1,811;14,02;1,811;0;0,991;103,008;-0,044;-1,102;11,863;0;0,998;23,641;-1,809;14,01;1,809;0;0,991;102,646;-0,044;-1,106;11,869;0;0,998;24,873;-1,813;14,037;1,813;0;0,991;104,013;-0,045;-1,093;11,846;0;0,998;22,381;;0,991;0,998;103,14275;23,99425
287;-1,727;13,428;1,727;0;0,985;123,562;-0,057;-0,823;10,675;0;0,998;28,871;-1,73;13,45;1,73;0;0,984;124,535;-0,057;-0,813;10,659;0;0,998;27,568;-1,732;13,464;1,732;0;0,984;125,257;-0,058;-0,807;10,651;0;0,998;28,163;-1,731;13,466;1,731;0;0,984;125,578;-0,058;-0,806;10,651;0;0,998;30,072;;0,98425;0,998;124,733;28,6685
288;-1,847;14,038;1,847;0;0,994;82,891;-0,035;-1,281;12,313;0;0,999;9,212;-1,85;14,048;1,85;0;0,994;83,508;-0,036;-1,278;12,308;0;0,999;8,97;-1,851;14,058;1,851;0;0,994;84,327;-0,036;-1,275;12,304;0;0,999;10,026;-1,854;14,07;1,854;0;0,994;85,852;-0,037;-1,265;12,278;0;0,999;9,224;;0,994;0,999;84,1445;9,358
289;-1,816;13,919;1,816;0;0,991;100,998;-0,043;-1,126;11,822;0;0,998;24,633;-1,814;13,923;1,814;0;0,991;101,685;-0,043;-1,124;11,822;0;0,998;27,478;-1,812;13,925;1,812;0;0,991;101,565;-0,043;-1,123;11,826;0;0,998;27,266;-1,809;13,903;1,809;0;0,991;100,437;-0,042;-1,13;11,837;0;0,998;27,477;;0,991;0,998;101,17125;26,7135
290;-1,815;13,983;1,815;0;0,991;100,03;-0,043;-1,135;11,911;0;0,998;24,566;-1,813;13,995;1,813;0;0,991;100,783;-0,043;-1,125;11,9;0;0,998;24,047;-1,811;14,002;1,811;0;0,991;101,247;-0,043;-1,122;11,904;0;0,998;25,808;-1,812;14,017;1,812;0;0,991;101,854;-0,044;-1,115;11,896;0;0,998;24,569;;0,991;0,998;100,9785;24,7475
291;-1,817;14,197;1,817;0;0,991;100,857;-0,043;-1,13;12,109;0;0,998;25,607;-1,815;14,197;1,815;0;0,991;100,94;-0,043;-1,129;12,11;0;0,998;26,3;-1,815;14,177;1,815;0;0,991;101,183;-0,043;-1,125;12,077;0;0,998;25,044;-1,814;14,154;1,814;0;0,991;100,127;-0,042;-1,136;12,092;0;0,998;26,756;;0,991;0,998;100,77675;25,92675
292;-1,798;14,159;1,798;0;0,991;101,819;-0,044;-1,088;11,999;0;0,999;15,993;-1,797;14,154;1,797;0;0,991;101,52;-0,044;-1,09;12,002;0;0,999;16,049;-1,798;14,165;1,798;0;0,991;102,224;-0,045;-1,084;11,992;0;0,999;15,744;-1,801;14,188;1,801;0;0,991;103,315;-0,045;-1,076;11,984;0;0,999;15,208;;0,991;0,999;102,2195;15,7485
294;-1,824;13,527;1,824;0;0,991;102,747;-0,043;-1,141;11,45;0;0,998;36,021;-1,822;13,522;1,822;0;0,991;102,612;-0,042;-1,143;11,456;0;0,998;37,11;-1,822;13,53;1,822;0;0,991;102,912;-0,043;-1,132;11,431;0;0,998;33,437;-1,823;13,534;1,823;0;0,991;103,173;-0,043;-1,129;11,421;0;0,998;32,393;;0,991;0,998;102,861;34,74025
295;-1,814;13,924;1,814;0;0,991;101,081;-0,043;-1,124;11,823;0;0,998;24,331;-1,813;13,926;1,813;0;0,991;101,178;-0,043;-1,121;11,821;0;0,998;24,027;-1,815;13,919;1,815;0;0,991;100,129;-0,043;-1,134;11,844;0;0,998;24,335;-1,816;13,911;1,816;0;0,992;99,391;-0,042;-1,14;11,855;0;0,998;24,129;;0,99125;0,998;100,44475;24,2055
296;-1,82;14,114;1,82;0;0,992;96,609;-0,041;-1,165;12,119;0;0,998;21,881;-1,819;14,11;1,819;0;0,992;96,607;-0,041;-1,163;12,113;0;0,998;21,447;-1,819;14,109;1,819;0;0,992;96,746;-0,041;-1,162;12,11;0;0,998;21,875;-1,818;14,107;1,818;0;0,992;96,537;-0,041;-1,162;12,11;0;0,998;21,166;;0,992;0,998;96,62475;21,59225
297;-1,83;13,862;1,83;0;0,992;99,095;-0,042;-1,165;11,838;0;0,998;28,576;-1,825;13,862;1,825;0;0,992;98,854;-0,041;-1,166;11,858;0;0,998;30,639;-1,823;13,88;1,823;0;0,992;99,595;-0,042;-1,153;11,839;0;0,998;27,943;-1,824;13,865;1,824;0;0,992;99,112;-0,041;-1,163;11,853;0;0,998;30,605;;0,992;0,998;99,164;29,44075
298;-1,798;14,338;1,798;0;0,991;101,247;-0,044;-1,092;12,189;0;0,999;15,206;-1,798;14,338;1,798;0;0,991;101,837;-0,045;-1,086;12,169;0;0,999;14,264;-1,798;14,337;1,798;0;0,991;101,785;-0,045;-1,086;12,171;0;0,999;14,434;-1,798;14,334;1,798;0;0,991;101,841;-0,045;-1,081;12,153;0;0,999;11,02;;0,991;0,999;101,6775;13,731
299;-1,809;13,939;1,809;0;0,991;100,441;-0,043;-1,117;11,835;0;0,998;20,137;-1,809;13,946;1,809;0;0,991;99,987;-0,043;-1,12;11,849;0;0,998;19,321;-1,811;13,942;1,811;0;0,991;100,549;-0,044;-1,115;11,823;0;0,999;17,779;-1,811;13,932;1,811;0;0,991;100,667;-0,044;-1,115;11,814;0;0,998;18,479;;0,991;0,99825;100,411;18,929
301;-1,79;13,988;1,79;0;0,99;106,405;-0,047;-1,046;11,723;0;0,998;20,975;-1,786;14,002;1,786;0;0,99;106,69;-0,047;-1,042;11,737;0;0,998;22,554;-1,785;14,004;1,785;0;0,99;106,405;-0,046;-1,046;11,754;0;0,998;23,935;-1,788;13,989;1,788;0;0,99;106,462;-0,046;-1,046;11,732;0;0,998;23,149;;0,99;0,998;106,4905;22,65325
302;-1,824;14,144;1,824;0;0,992;95,038;-0,04;-1,18;12,182;0;0,998;20,42;-1,826;14,134;1,826;0;0,992;95,039;-0,04;-1,184;12,18;0;0,998;22,031;-1,826;14,149;1,826;0;0,992;95,204;-0,04;-1,183;12,19;0;0,998;21,759;-1,827;14,153;1,827;0;0,992;95,276;-0,04;-1,185;12,198;0;0,998;22,874;;0,992;0,998;95,13925;21,771
303;-1,78;14,04;1,78;0;0,99;104,281;-0,045;-1,067;11,872;0;0,998;28,381;-1,779;14,04;1,779;0;0,99;104,034;-0,044;-1,071;11,886;0;0,998;29,611;-1,782;14,053;1,782;0;0,99;104,32;-0,045;-1,068;11,88;0;0,998;27,459;-1,782;14,035;1,782;0;0,99;103,392;-0,045;-1,064;11,85;0;0,998;20,171;;0,99;0,998;104,00675;26,4055
304;-1,807;14,138;1,807;0;0,991;101,361;-0,043;-1,113;12,025;0;0,998;23,46;-1,808;14,14;1,808;0;0,991;101,187;-0,044;-1,113;12,024;0;0,998;21,896;-1,804;14,125;1,804;0;0,991;101,393;-0,044;-1,107;12,002;0;0,998;21,747;-1,804;14,114;1,804;0;0,991;101,695;-0,044;-1,102;11,977;0;0,998;20,489;;0,991;0,998;101,409;21,898
305;-1,832;14,145;1,832;0;0,993;88,16;-0,038;-1,228;12,305;0;0,999;10,653;-1,824;14,149;1,824;0;0,993;89,463;-0,039;-1,207;12,271;0;0,999;9,022;-1,825;14,158;1,825;0;0,993;90,183;-0,039;-1,205;12,271;0;0,999;10,832;-1,828;14,161;1,828;0;0,993;90,251;-0,039;-1,209;12,278;0;0,999;12,274;;0,993;0,999;89,51425;10,69525
306;-1,831;14,015;1,831;0;0,992;95,601;-0,04;-1,187;12,054;0;0,998;23,333;-1,827;14,035;1,827;0;0,992;94,893;-0,04;-1,186;12,084;0;0,998;21,89;-1,826;14,073;1,826;0;0,992;94,883;-0,04;-1,182;12,114;0;0,998;20,146;-1,83;14,08;1,83;0;0,993;94,169;-0,04;-1,192;12,137;0;0,998;19,741;;0,99225;0,998;94,8865;21,2775
307;-1,813;13,886;1,813;0;0,991;100,395;-0,043;-1,127;11,8;0;0,998;23,746;-1,814;13,877;1,814;0;0,991;100,512;-0,043;-1,129;11,793;0;0,998;24,627;-1,815;13,887;1,815;0;0,991;100,834;-0,043;-1,126;11,791;0;0,998;24,006;-1,815;13,867;1,815;0;0,991;100,365;-0,043;-1,133;11,791;0;0,998;25,398;;0,991;0,998;100,5265;24,44425
308;-1,804;14,012;1,804;0;0,99;105,23;-0,045;-1,09;11,839;0;0,998;32,102;-1,803;14,015;1,803;0;0,99;105,039;-0,045;-1,083;11,825;0;0,998;28,282;-1,802;14,022;1,802;0;0,99;105,337;-0,045;-1,077;11,816;0;0,998;26,778;-1,803;14,021;1,803;0;0,99;105,928;-0,045;-1,079;11,817;0;0,998;30,281;;0,99;0,998;105,3835;29,36075
309;-1,827;14,207;1,827;0;0,992;99,494;-0,042;-1,162;12,182;0;0,998;30,113;-1,828;14,236;1,828;0;0,992;99,55;-0,042;-1,163;12,212;0;0,998;30,511;-1,823;14,235;1,823;0;0,992;99,235;-0,042;-1,159;12,216;0;0,998;29,84;-1,819;14,225;1,819;0;0,992;98,957;-0,041;-1,158;12,215;0;0,998;30,191;;0,992;0,998;99,309;30,16375
310;-1,811;13,999;1,811;0;0,991;100,276;-0,043;-1,126;11,912;0;0,998;22,905;-1,81;13,996;1,81;0;0,991;100,195;-0,043;-1,126;11,915;0;0,998;23,539;-1,808;14,003;1,808;0;0,991;100,764;-0,043;-1,123;11,917;0;0,998;25,535;-1,806;14,013;1,806;0;0,991;100,697;-0,043;-1,119;11,921;0;0,998;24,101;;0,991;0,998;100,483;24,02
312;-1,825;14,319;1,825;0;0,993;93,606;-0,039;-1,208;12,441;0;0,998;28,626;-1,825;14,31;1,825;0;0,993;93,508;-0,039;-1,208;12,432;0;0,998;28,082;-1,824;14,31;1,824;0;0,993;92,748;-0,039;-1,206;12,43;0;0,998;24,642;-1,824;14,304;1,824;0;0,993;93,153;-0,039;-1,201;12,408;0;0,998;23,75;;0,993;0,998;93,25375;26,275
313;-1,812;14,008;1,812;0;0,991;101,362;-0,042;-1,136;11,951;0;0,998;33,186;-1,812;14,014;1,812;0;0,991;101,771;-0,043;-1,125;11,92;0;0,998;29,071;-1,811;14,005;1,811;0;0,991;101,217;-0,043;-1,13;11,934;0;0,998;30,2;-1,812;14,01;1,812;0;0,991;101,875;-0,043;-1,13;11,934;0;0,998;32,475;;0,991;0,998;101,55625;31,233
314;-1,809;14,097;1,809;0;0,991;103,006;-0,043;-1,125;12,015;0;0,998;36,416;-1,808;14,086;1,808;0;0,991;103,297;-0,044;-1,11;11,961;0;0,998;31,029;-1,806;14,063;1,806;0;0,991;104,068;-0,044;-1,1;11,914;0;0,998;30,586;-1,804;14,043;1,804;0;0,99;104,373;-0,043;-1,111;11,936;0;0,998;38,486;;0,99075;0,998;103,686;34,12925
315;-1,831;13,908;1,831;0;0,993;93,566;-0,04;-1,198;11,984;0;0,998;20,484;-1,833;13,927;1,833;0;0,992;94,492;-0,04;-1,193;11,978;0;0,998;20,267;-1,831;13,889;1,831;0;0,992;95,543;-0,041;-1,183;11,918;0;0,998;21,163;-1,83;13,885;1,83;0;0,992;95,599;-0,04;-1,185;11,921;0;0,998;22,672;;0,99225;0,998;94,8;21,1465
316;-1,824;14,258;1,824;0;0,993;92,335;-0,039;-1,194;12,34;0;0,999;15,692;-1,822;14,234;1,822;0;0,993;91,75;-0,039;-1,203;12,351;0;0,998;19,773;-1,824;14,242;1,824;0;0,993;92,114;-0,039;-1,195;12,325;0;0,999;14,818;-1,825;14,239;1,825;0;0,993;92,361;-0,04;-1,189;12,304;0;0,999;11,905;;0,993;0,99875;92,14;15,547
317;-1,82;13,943;1,82;0;0,992;95,685;-0,04;-1,177;11,984;0;0,998;24,161;-1,82;13,923;1,82;0;0,992;95,925;-0,041;-1,172;11,953;0;0,998;23,293;-1,821;13,932;1,821;0;0,992;96,149;-0,041;-1,167;11,942;0;0,998;20,605;-1,821;13,925;1,821;0;0,992;96,13;-0,041;-1,171;11,945;0;0,998;22,439;;0,992;0,998;95,97225;22,6245
318;-1,839;13,752;1,839;0;0,993;92,344;-0,038;-1,227;11,889;0;0,998;25,894;-1,84;13,757;1,84;0;0,993;92,762;-0,039;-1,224;11,883;0;0,998;25,679;-1,838;13,756;1,838;0;0,993;92,346;-0,038;-1,227;11,899;0;0,998;26,751;-1,84;13,76;1,84;0;0,993;92,353;-0,038;-1,229;11,9;0;0,998;26,332;;0,993;0,998;92,45125;26,164
319;-1,806;13,91;1,806;0;0,991;100,476;-0,043;-1,116;11,81;0;0,998;21,437;-1,809;13,934;1,809;0;0,991;101,195;-0,044;-1,109;11,804;0;0,998;18,951;-1,807;13,923;1,807;0;0,991;100,971;-0,044;-1,111;11,803;0;0,998;20,103;-1,807;13,902;1,807;0;0,991;100,643;-0,043;-1,12;11,812;0;0,998;24,126;;0,991;0,998;100,82125;21,15425
320;-1,842;14,183;1,842;0;0,993;89,877;-0,037;-1,244;12,361;0;0,998;22,191;-1,841;14,157;1,841;0;0,993;89,968;-0,037;-1,242;12,335;0;0,998;22,603;-1,84;14,134;1,84;0;0,993;90,293;-0,038;-1,238;12,302;0;0,998;22,248;-1,841;14,143;1,841;0;0,993;90,736;-0,038;-1,233;12,292;0;0,998;20,749;;0,993;0,998;90,2185;21,94775
321;-1,797;13,892;1,797;0;0,991;103,306;-0,045;-1,083;11,719;0;0,998;22,28;-1,798;13,884;1,798;0;0,991;103,461;-0,045;-1,084;11,711;0;0,998;22,96;-1,796;13,875;1,796;0;0,991;103,805;-0,045;-1,074;11,68;0;0,998;20,29;-1,795;13,88;1,795;0;0,99;104,347;-0,046;-1,066;11,66;0;0,998;18,215;;0,99075;0,998;103,72975;20,93625
322;-1,835;14,142;1,835;0;0,993;88,931;-0,038;-1,232;12,308;0;0,999;15,728;-1,837;14,144;1,837;0;0,993;88,674;-0,038;-1,235;12,311;0;0,999;14,809;-1,841;14,154;1,841;0;0,993;89,016;-0,038;-1,233;12,305;0;0,999;13,126;-1,844;14,172;1,844;0;0,994;87,903;-0,037;-1,247;12,356;0;0,999;14,561;;0,99325;0,999;88,631;14,556
323;-1,811;14,087;1,811;0;0,991;101,5;-0,043;-1,118;11,98;0;0,998;25,359;-1,814;14,102;1,814;0;0,991;103,146;-0,044;-1,107;11,95;0;0,998;25,464;-1,812;14,087;1,812;0;0,991;101,761;-0,044;-1,116;11,97;0;0,998;24,754;-1,81;14,072;1,81;0;0,991;101,221;-0,043;-1,121;11,975;0;0,998;25,806;;0,991;0,998;101,907;25,34575
324;-1,778;14,073;1,778;0;0,989;108,011;-0,048;-1,016;11,753;0;0,998;18,755;-1,78;14,069;1,78;0;0,99;107,744;-0,048;-1,017;11,748;0;0,999;16,533;-1,78;14,056;1,78;0;0,99;107,212;-0,047;-1,026;11,76;0;0,998;18,856;-1,782;14,053;1,782;0;0,99;107,173;-0,047;-1,031;11,766;0;0,998;20,693;;0,98975;0,99825;107,535;18,70925
