id;k1;b1;D1;p-value linear 1;R_score1;AIC_linear1;kef x^2 (1);kef x (1);kef 1 (1);p-value quadr 1;R_score quadr 1;AIC_quadr1;k2;b2;D2;p-value linear 2;R_score2;AIC_linear2;kef x^2 (2);kef x (2);kef 1 (2);p-value quadr 2;R_score quadr 2;AIC_quadr2;k3;b3;D3;p-value linear 3;R_score3;AIC_linear3;kef x^2 (3);kef x (3);kef 1 (3);p-value quadr 3;R_score quadr 3;AIC_quadr3;k4;b4;D4;p-value linear 4;R_score4;AIC_linear4;kef x^2 (4);kef x (4);kef 1 (4);p-value quadr 4;R_score quadr 4;AIC_quadr4;;Average linear R_score;Average quadr R_score;AIC linear;AIC quadrio
13;-1,818;13,734;1,818;0;0,991;100,498;-0,042;-1,148;11,696;0;0,998;32,359;-1,818;13,745;1,818;0;0,991;100,611;-0,042;-1,143;11,689;0;0,998;30,056;-1,818;13,741;1,818;0;0,991;100,473;-0,042;-1,145;11,693;0;0,998;30,815;-1,82;13,744;1,82;0;0,991;101,243;-0,043;-1,141;11,677;0;0,998;31,116;;0,991;0,998;100,70625;31,0865
14;-1,787;14,249;1,787;0;0,99;104,165;-0,046;-1,055;12,021;0;0,999;15,24;-1,784;14,206;1,784;0;0,99;105,928;-0,047;-1,035;11,926;0;0,999;14,392;-1,783;14,191;1,783;0;0,99;106,354;-0,047;-1,036;11,916;0;0,998;18,526;-1,783;14,183;1,783;0;0,99;106,113;-0,046;-1,046;11,938;0;0,998;23,528;;0,99;0,9985;105,64;17,9215
15;-1,806;13,955;1,806;0;0,99;104,975;-0,045;-1,087;11,767;0;0,998;28,09;-1,806;13,949;1,806;0;0,99;104,635;-0,045;-1,093;11,778;0;0,998;29,631;-1,806;13,957;1,806;0;0,99;104,795;-0,045;-1,088;11,772;0;0,998;27,858;-1,806;13,936;1,806;0;0,99;104,841;-0,045;-1,09;11,758;0;0,998;29,376;;0,99;0,998;104,8115;28,73875
16;-1,819;14,215;1,819;0;0,992;95,302;-0,041;-1,165;12,223;0;0,999;15,741;-1,819;14,213;1,819;0;0,992;95,4;-0,041;-1,165;12,221;0;0,999;16,234;-1,817;14,197;1,817;0;0,992;95,61;-0,041;-1,161;12,202;0;0,999;16,896;-1,818;14,199;1,818;0;0,992;96,124;-0,042;-1,154;12,179;0;0,999;14,144;;0,992;0,999;95,609;15,75375
17;-1,842;14,012;1,842;0;0,993;89,53;-0,038;-1,238;12,173;0;0,999;17,488;-1,839;14,028;1,839;0;0,993;89,798;-0,038;-1,232;12,179;0;0,999;17,108;-1,836;14,026;1,836;0;0,993;89,507;-0,038;-1,232;12,188;0;0,999;17,572;-1,836;14,005;1,836;0;0,993;90,076;-0,038;-1,235;12,177;0;0,998;22,101;;0,993;0,99875;89,72775;18,56725
18;-1,818;14,241;1,818;0;0,992;96,044;-0,041;-1,159;12,236;0;0,999;16,973;-1,818;14,24;1,818;0;0,992;95,99;-0,041;-1,157;12,23;0;0,999;15,584;-1,818;14,221;1,818;0;0,992;95,483;-0,041;-1,161;12,222;0;0,999;15,299;-1,822;14,23;1,822;0;0,992;96,105;-0,041;-1,159;12,212;0;0,999;14,602;;0,992;0,999;95,9055;15,6145
19;-1,808;14,004;1,808;0;0,991;100,994;-0,044;-1,113;11,888;0;0,998;20,955;-1,807;13,999;1,807;0;0,991;100,641;-0,043;-1,114;11,892;0;0,998;20,713;-1,805;14,005;1,805;0;0,991;100,702;-0,043;-1,114;11,901;0;0,998;21,718;-1,806;14,005;1,806;0;0,991;100,789;-0,043;-1,113;11,895;0;0,998;21,099;;0,991;0,998;100,7815;21,12125
20;-1,789;14,011;1,789;0;0,99;106,741;-0,046;-1,056;11,782;0;0,998;29,897;-1,791;14,035;1,791;0;0,99;108,071;-0,047;-1,039;11,744;0;0,998;25,461;-1,793;14,044;1,793;0;0,989;108,718;-0,047;-1,037;11,742;0;0,998;27,002;-1,794;14,032;1,794;0;0,99;108,491;-0,047;-1,037;11,729;0;0,998;25,551;;0,98975;0,998;108,00525;26,97775
21;-1,812;14,484;1,812;0;0,992;97,232;-0,042;-1,144;12,452;0;0,999;17,671;-1,816;14,449;1,816;0;0,992;95,829;-0,041;-1,16;12,451;0;0,999;17,216;-1,816;14,44;1,816;0;0,992;96,758;-0,042;-1,15;12,413;0;0,999;16,216;-1,815;14,462;1,815;0;0,992;96,726;-0,041;-1,153;12,444;0;0,999;18,021;;0,992;0,999;96,63625;17,281
22;-1,811;13,877;1,811;0;0,991;100,91;-0,042;-1,138;11,828;0;0,998;32,469;-1,812;13,869;1,812;0;0,991;101,625;-0,043;-1,122;11,767;0;0,998;26,984;-1,811;13,851;1,811;0;0,991;101,551;-0,043;-1,12;11,746;0;0,998;26,044;-1,812;13,846;1,812;0;0,991;101,813;-0,044;-1,114;11,723;0;0,998;23,886;;0,991;0,998;101,47475;27,34575
23;-1,787;14,118;1,787;0;0,99;105,672;-0,046;-1,046;11,862;0;0,998;18,375;-1,787;14,123;1,787;0;0,99;106,192;-0,047;-1,041;11,854;0;0,998;18,536;-1,786;14,116;1,786;0;0,99;106,102;-0,047;-1,039;11,843;0;0,998;17,274;-1,783;14,113;1,783;0;0,99;106,092;-0,047;-1,033;11,831;0;0,999;14,872;;0,99;0,99825;106,0145;17,26425
24;-1,787;14,001;1,787;0;0,99;106,772;-0,047;-1,041;11,73;0;0,998;21,86;-1,787;14,007;1,787;0;0,99;107,601;-0,047;-1,031;11,708;0;0,998;20,932;-1,784;13,999;1,784;0;0,99;107,943;-0,048;-1,023;11,684;0;0,998;19,426;-1,781;13,973;1,781;0;0,99;107,525;-0,047;-1,026;11,674;0;0,998;20,388;;0,99;0,998;107,46025;20,6515
25;-1,863;14,271;1,863;0;0,995;80,416;-0,034;-1,317;12,609;0;0,999;10,665;-1,858;14,224;1,858;0;0,994;81,545;-0,034;-1,307;12,548;0;0,999;12,868;-1,855;14,199;1,855;0;0,994;81,963;-0,035;-1,304;12,52;0;0,999;14,197;-1,853;14,197;1,853;0;0,994;83,594;-0,035;-1,29;12,481;0;0,999;14,194;;0,99425;0,999;81,8795;12,981
26;-1,815;14,138;1,815;0;0,992;93,942;-0,041;-1,161;12,145;0;0,999;7,672;-1,815;14,131;1,815;0;0,992;94,063;-0,041;-1,162;12,145;0;0,999;10,112;-1,815;14,129;1,815;0;0,992;94,146;-0,041;-1,167;12,157;0;0,999;13,839;-1,815;14,13;1,815;0;0,992;94,443;-0,041;-1,161;12,14;0;0,999;11,2;;0,992;0,999;94,1485;10,70575
27;-1,833;14,022;1,833;0;0,992;95,521;-0,039;-1,206;12,113;0;0,998;31,598;-1,833;14,016;1,833;0;0,992;95,845;-0,039;-1,203;12,099;0;0,998;31,539;-1,831;14,003;1,831;0;0,992;94,487;-0,039;-1,206;12,1;0;0,998;28,282;-1,832;14;1,832;0;0,993;93,937;-0,039;-1,207;12,099;0;0,998;26,275;;0,99225;0,998;94,9475;29,4235
28;-1,825;14,105;1,825;0;0,992;96,608;-0,041;-1,166;12,101;0;0,998;20,018;-1,822;14,093;1,822;0;0,992;96,014;-0,041;-1,169;12,108;0;0,998;20,849;-1,821;14,094;1,821;0;0,992;96,591;-0,041;-1,165;12,097;0;0,998;21,428;-1,821;14,093;1,821;0;0,992;96,814;-0,041;-1,167;12,102;0;0,998;23,675;;0,992;0,998;96,50675;21,4925
29;-1,826;14,028;1,826;0;0,992;94,188;-0,04;-1,19;12,093;0;0,998;21,433;-1,826;14,028;1,826;0;0,992;95,239;-0,04;-1,187;12,083;0;0,998;24,607;-1,828;14,035;1,828;0;0,992;97,011;-0,04;-1,19;12,094;0;0,998;32,61;-1,828;14,036;1,828;0;0,992;96,655;-0,04;-1,19;12,094;0;0,998;31,14;;0,992;0,998;95,77325;27,4475
30;-1,843;13,701;1,843;0;0,993;91,856;-0,038;-1,24;11,866;0;0,998;28,252;-1,844;13,709;1,844;0;0,993;92,208;-0,038;-1,238;11,862;0;0,998;27,918;-1,844;13,7;1,844;0;0,993;92,011;-0,038;-1,241;11,865;0;0,998;28,86;-1,845;13,706;1,845;0;0,993;92,247;-0,038;-1,241;11,868;0;0,998;29,174;;0,993;0,998;92,0805;28,551
32;-1,822;13,869;1,822;0;0,992;99,716;-0,043;-1,143;11,801;0;0,998;23,588;-1,823;13,86;1,823;0;0,991;100,434;-0,043;-1,139;11,779;0;0,998;24,732;-1,82;13,844;1,82;0;0,992;99,279;-0,042;-1,151;11,806;0;0,998;26,883;-1,822;13,874;1,822;0;0,992;99,398;-0,042;-1,151;11,833;0;0,998;26,986;;0,99175;0,998;99,70675;25,54725
33;-1,809;14,063;1,809;0;0,991;101,129;-0,044;-1,112;11,941;0;0,998;20,445;-1,806;14,069;1,806;0;0,991;101,299;-0,044;-1,104;11,932;0;0,998;18,306;-1,803;14,078;1,803;0;0,991;101,51;-0,044;-1,1;11,938;0;0,998;18,706;-1,804;14,079;1,804;0;0,991;101,477;-0,044;-1,103;11,945;0;0,998;19,826;;0,991;0,998;101,35375;19,32075
35;-1,771;14,015;1,771;0;0,988;112,431;-0,05;-0,97;11,575;0;0,998;20,814;-1,774;14,02;1,774;0;0,988;114,276;-0,051;-0,96;11,542;0;0,998;24,647;-1,771;14,004;1,771;0;0,988;112,706;-0,05;-0,966;11,552;0;0,998;19,749;-1,769;13,988;1,769;0;0,988;112,055;-0,049;-0,982;11,593;0;0,998;27,869;;0,988;0,998;112,867;23,26975
36;-1,807;13,864;1,807;0;0,99;107,278;-0,046;-1,068;11,615;0;0,998;28,979;-1,805;13,873;1,805;0;0,99;107,936;-0,047;-1,056;11,594;0;0,998;27,14;-1,798;13,858;1,798;0;0,99;107,605;-0,046;-1,06;11,614;0;0,998;31,618;-1,796;13,85;1,796;0;0,99;107,393;-0,046;-1,065;11,624;0;0,998;33,727;;0,99;0,998;107,553;30,366
37;-1,826;14,046;1,826;0;0,993;92,65;-0,039;-1,205;12,155;0;0,998;22,304;-1,828;14,066;1,828;0;0,993;93,062;-0,04;-1,197;12,144;0;0,999;18,566;-1,829;14,078;1,829;0;0,993;93,5;-0,04;-1,19;12,13;0;0,999;15,547;-1,828;14,059;1,828;0;0,993;93,659;-0,04;-1,191;12,119;0;0,999;17,821;;0,993;0,99875;93,21775;18,5595
38;-1,827;13,85;1,827;0;0,992;99,114;-0,04;-1,186;11,898;0;0,998;39,079;-1,831;13,855;1,831;0;0,992;99,652;-0,04;-1,185;11,89;0;0,998;39,429;-1,831;13,845;1,831;0;0,992;99,631;-0,04;-1,186;11,881;0;0,998;39,5;-1,834;13,871;1,834;0;0,991;100,663;-0,041;-1,171;11,855;0;0,998;36,309;;0,99175;0,998;99,765;38,57925
39;-1,788;13,824;1,788;0;0,99;106,395;-0,046;-1,046;11,567;0;0,998;22,402;-1,787;13,83;1,787;0;0,99;106,773;-0,047;-1,042;11,564;0;0,998;22,87;-1,785;13,822;1,785;0;0,99;106,532;-0,046;-1,046;11,572;0;0,998;24,798;-1,785;13,809;1,785;0;0,99;106,316;-0,046;-1,052;11,58;0;0,998;27,688;;0,99;0,998;106,504;24,4395
40;-1,823;13,774;1,823;0;0,992;99,879;-0,042;-1,154;11,737;0;0,998;29,882;-1,823;13,773;1,823;0;0,991;100,078;-0,042;-1,15;11,726;0;0,998;29,115;-1,818;13,752;1,818;0;0,992;98,911;-0,041;-1,16;11,75;0;0,998;31,178;-1,819;13,767;1,819;0;0,992;99,31;-0,042;-1,155;11,746;0;0,998;30,058;;0,99175;0,998;99,5445;30,05825
41;-1,82;13,905;1,82;0;0,992;98,873;-0,042;-1,149;11,864;0;0,998;24,448;-1,818;13,88;1,818;0;0,992;99,152;-0,042;-1,151;11,849;0;0,998;27,47;-1,822;13,877;1,822;0;0,991;100,317;-0,043;-1,136;11,791;0;0,998;23,318;-1,821;13,871;1,821;0;0,991;100,172;-0,043;-1,139;11,793;0;0,998;24,041;;0,9915;0,998;99,6285;24,81925
42;-1,83;13,921;1,83;0;0,992;98,506;-0,041;-1,169;11,907;0;0,998;27,49;-1,828;13,911;1,828;0;0,992;97,409;-0,041;-1,177;11,927;0;0,998;27,659;-1,827;13,911;1,827;0;0,992;97,512;-0,041;-1,179;11,939;0;0,998;29,911;-1,826;13,91;1,826;0;0,992;97,647;-0,041;-1,174;11,926;0;0,998;28,629;;0,992;0,998;97,7685;28,42225
43;-1,806;14,162;1,806;0;0,992;97,947;-0,043;-1,124;12,086;0;0,999;11,81;-1,805;14,15;1,805;0;0,992;97,848;-0,043;-1,125;12,08;0;0,999;12,85;-1,804;14,134;1,804;0;0,992;98,262;-0,043;-1,119;12,05;0;0,999;12,013;-1,802;14,11;1,802;0;0,992;98,279;-0,043;-1,121;12,037;0;0,999;14,719;;0,992;0,999;98,084;12,848
